client_id,age,job,marital,education,credit,housing,loan,contact,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y,date
41,58,management,unknown,university.degree,no,yes,no,telephone,mon,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
42,32,entrepreneur,married,high.school,no,yes,no,telephone,mon,314,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
43,38,admin.,single,professional.course,no,no,no,telephone,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
44,57,admin.,married,university.degree,no,no,yes,telephone,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
45,44,admin.,married,university.degree,unknown,yes,no,telephone,mon,188,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
46,42,technician,single,professional.course,unknown,no,no,telephone,mon,22,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
47,57,admin.,married,university.degree,no,yes,yes,telephone,mon,616,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
48,40,blue-collar,married,basic,no,no,yes,telephone,mon,178,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
49,35,admin.,married,university.degree,no,yes,no,telephone,mon,355,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
50,45,blue-collar,married,basic,no,yes,no,telephone,mon,225,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
51,54,admin.,married,high.school,no,no,no,telephone,mon,160,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
52,39,housemaid,married,basic,no,no,yes,telephone,mon,266,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
53,60,admin.,married,high.school,no,no,no,telephone,mon,253,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
54,53,admin.,single,professional.course,no,no,no,telephone,mon,179,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
55,55,blue-collar,married,basic,unknown,no,no,telephone,mon,269,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
56,55,technician,married,professional.course,unknown,yes,no,telephone,mon,135,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
57,50,management,married,university.degree,unknown,no,yes,telephone,mon,161,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
58,45,services,married,high.school,unknown,yes,no,telephone,mon,787,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
59,55,unemployed,married,professional.course,unknown,yes,yes,telephone,mon,145,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
60,25,technician,single,university.degree,no,yes,no,telephone,mon,174,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
61,47,entrepreneur,married,university.degree,unknown,no,no,telephone,mon,449,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
62,51,blue-collar,married,basic,no,yes,no,telephone,mon,812,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
63,42,blue-collar,married,basic,unknown,yes,no,telephone,mon,164,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
64,42,blue-collar,married,basic,unknown,no,no,telephone,mon,366,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
65,48,admin.,married,high.school,no,no,no,telephone,mon,357,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
66,37,admin.,married,university.degree,no,no,no,telephone,mon,232,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
67,44,blue-collar,single,basic,no,yes,no,telephone,mon,91,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
68,33,admin.,married,unknown,no,yes,no,telephone,mon,273,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
69,56,admin.,married,basic,no,yes,no,telephone,mon,158,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
70,44,blue-collar,single,basic,unknown,yes,yes,telephone,mon,177,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
71,41,management,married,basic,no,no,no,telephone,mon,200,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
72,44,management,divorced,university.degree,no,yes,no,telephone,mon,172,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
73,47,admin.,married,university.degree,unknown,yes,no,telephone,mon,176,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
74,57,unknown,married,unknown,unknown,no,no,telephone,mon,211,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
76,41,blue-collar,divorced,basic,unknown,yes,no,telephone,mon,1575,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,2008-05-01
77,55,technician,married,university.degree,no,no,no,telephone,mon,349,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
78,33,services,married,high.school,unknown,yes,no,telephone,mon,337,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
79,55,management,married,unknown,unknown,yes,no,telephone,mon,272,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
80,42,blue-collar,married,basic,unknown,no,no,telephone,mon,208,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
81,50,blue-collar,married,basic,unknown,yes,no,telephone,mon,193,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
82,51,blue-collar,married,basic,unknown,unknown,unknown,telephone,mon,212,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
83,38,admin.,married,high.school,unknown,no,no,telephone,mon,165,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
84,49,entrepreneur,married,university.degree,unknown,yes,no,telephone,mon,1042,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,2008-05-01
85,38,technician,single,university.degree,no,no,yes,telephone,mon,20,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
86,31,admin.,divorced,high.school,no,no,no,telephone,mon,246,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
87,41,management,married,basic,no,no,no,telephone,mon,529,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
88,39,admin.,married,university.degree,no,yes,yes,telephone,mon,192,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
89,49,technician,married,basic,no,no,no,telephone,mon,1467,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,yes,2008-05-01
90,34,admin.,married,high.school,no,yes,no,telephone,mon,188,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
91,35,admin.,married,university.degree,no,yes,no,telephone,mon,180,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
92,57,unknown,married,unknown,unknown,yes,no,telephone,mon,48,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
93,60,admin.,married,unknown,unknown,no,yes,telephone,mon,213,2,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
94,33,unemployed,married,basic,no,no,no,telephone,mon,545,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
95,42,blue-collar,married,basic,no,no,yes,telephone,mon,583,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
96,45,services,married,professional.course,no,yes,no,telephone,mon,221,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
97,42,management,married,university.degree,no,no,no,telephone,mon,426,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
99,37,technician,single,professional.course,no,no,no,telephone,mon,197,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
100,44,blue-collar,married,basic,no,no,no,telephone,mon,257,1,999,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,no,2008-05-01
